auc:0.854681, aupr:0.355445
auc:0.888039, aupr:0.355085
auc:0.841152, aupr:0.352880
auc:0.880744, aupr:0.367004
AUROC: 0.8608
AUPRC: 0.3616
auc:0.883962, aupr:0.277648
auc:0.884705, aupr:0.270240
auc:0.881625, aupr:0.275915
auc:0.879395, aupr:0.279690
auc:0.880476, aupr:0.285813
auc:0.880346, aupr:0.283815
auc:0.883800, aupr:0.283670
auc:0.883446, aupr:0.274023
auc:0.881508, aupr:0.277543
auc:0.877306, aupr:0.269852
AUROC: 0.8817
AUPRC: 0.2778
auc:0.798514, aupr:0.330767
auc:0.820764, aupr:0.367071
auc:0.819581, aupr:0.365730
auc:0.802130, aupr:0.338020
auc:0.815093, aupr:0.372216
auc:0.801221, aupr:0.376678
auc:0.803391, aupr:0.340982
auc:0.803404, aupr:0.378267
auc:0.794337, aupr:0.367463
auc:0.784716, aupr:0.378284
AUROC: 0.8043
AUPRC: 0.3615
auc:0.755286, aupr:0.398661
auc:0.764827, aupr:0.395559
auc:0.765692, aupr:0.392882
auc:0.775645, aupr:0.412082
auc:0.756621, aupr:0.383816
auc:0.765564, aupr:0.421559
auc:0.780601, aupr:0.404902
auc:0.773956, aupr:0.396859
auc:0.760863, aupr:0.412511
auc:0.799239, aupr:0.406743
AUROC: 0.7698
AUPRC: 0.4026
auc:0.632121, aupr:0.314741
auc:0.700028, aupr:0.287317
auc:0.695346, aupr:0.344702
auc:0.698346, aupr:0.298428
auc:0.689809, aupr:0.322385
auc:0.733908, aupr:0.347157
auc:0.660793, aupr:0.313578
auc:0.694358, aupr:0.314493
auc:0.645563, aupr:0.290316
auc:0.691190, aupr:0.325410
AUROC: 0.6841
AUPRC: 0.3159
auc:0.969634, aupr:0.871091
auc:0.964916, aupr:0.866007
auc:0.968274, aupr:0.868853
auc:0.967602, aupr:0.868987
auc:0.967806, aupr:0.864792
auc:0.968593, aupr:0.866696
auc:0.967469, aupr:0.869837
auc:0.967148, aupr:0.867715
auc:0.966912, aupr:0.865800
auc:0.965964, aupr:0.863051
AUROC: 0.9674
AUPRC: 0.8673
auc:0.920477, aupr:0.639619
auc:0.917648, aupr:0.625817
auc:0.915942, aupr:0.620810
auc:0.914343, aupr:0.629255
auc:0.916131, aupr:0.620891
auc:0.922296, aupr:0.629901
auc:0.919919, aupr:0.619245
auc:0.917610, aupr:0.620985
auc:0.920564, aupr:0.626846
auc:0.920424, aupr:0.620849
AUROC: 0.9185
AUPRC: 0.6254
auc:0.915186, aupr:0.549739
auc:0.918945, aupr:0.567292
auc:0.906913, aupr:0.468008
auc:0.917922, aupr:0.550420
auc:0.913952, aupr:0.512181
auc:0.919891, aupr:0.567639
auc:0.915863, aupr:0.556423
auc:0.919230, aupr:0.562457
auc:0.921037, aupr:0.586543
auc:0.916742, aupr:0.538706
AUROC: 0.9166
AUPRC: 0.5459
auc:0.939168, aupr:0.658968
auc:0.930501, aupr:0.637610
auc:0.938292, aupr:0.657055
auc:0.938717, aupr:0.655627
auc:0.944501, aupr:0.676388
auc:0.942273, aupr:0.668376
auc:0.940411, aupr:0.648699
auc:0.923344, aupr:0.616352
auc:0.942948, aupr:0.672939
auc:0.930935, aupr:0.645402
AUROC: 0.9371
AUPRC: 0.6537
auc:0.945110, aupr:0.573388
auc:0.946114, aupr:0.571525
auc:0.943891, aupr:0.564940
auc:0.947679, aupr:0.590812
auc:0.948948, aupr:0.588381
auc:0.945221, aupr:0.580186
auc:0.945649, aupr:0.582233
auc:0.946828, aupr:0.575010
auc:0.943227, aupr:0.578008
auc:0.945087, aupr:0.570392
AUROC: 0.9458
AUPRC: 0.5775
auc:0.933583, aupr:0.625243
auc:0.934736, aupr:0.593908
auc:0.921396, aupr:0.603931
auc:0.938414, aupr:0.623758
auc:0.935451, aupr:0.626425
auc:0.943528, aupr:0.616984
auc:0.938282, aupr:0.632565
auc:0.927154, aupr:0.633326
auc:0.926461, aupr:0.629257
auc:0.935750, aupr:0.626621
AUROC: 0.9335
AUPRC: 0.6212
auc:0.917020, aupr:0.669950
auc:0.922125, aupr:0.686035
auc:0.911205, aupr:0.663999
auc:0.906880, aupr:0.672896
auc:0.914017, aupr:0.655986
auc:0.913901, aupr:0.668549
auc:0.901943, aupr:0.638265
auc:0.903616, aupr:0.658182
auc:0.920026, aupr:0.656624
auc:0.924277, aupr:0.674081
AUROC: 0.9135
AUPRC: 0.6645
auc:0.851754, aupr:0.588938
auc:0.825767, aupr:0.627612
auc:0.749292, aupr:0.549403
auc:0.819634, aupr:0.570256
auc:0.813886, aupr:0.497755
auc:0.852417, aupr:0.606375
auc:0.785230, aupr:0.538046
auc:0.781899, aupr:0.575656
auc:0.847966, aupr:0.611211
auc:0.864239, aupr:0.621697
AUROC: 0.8192
AUPRC: 0.5787
auc:0.965836, aupr:0.844266
auc:0.962260, aupr:0.837407
auc:0.965649, aupr:0.846506
auc:0.964612, aupr:0.841465
auc:0.967003, aupr:0.847593
auc:0.966352, aupr:0.846364
auc:0.962633, aupr:0.841007
auc:0.964865, aupr:0.842763
auc:0.966056, aupr:0.848108
auc:0.966201, aupr:0.842255
AUROC: 0.9651
AUPRC: 0.8438
auc:0.962789, aupr:0.925987
auc:0.961839, aupr:0.925398
auc:0.953181, aupr:0.911459
auc:0.962263, aupr:0.924578
auc:0.960736, aupr:0.919615
auc:0.967249, aupr:0.931337
auc:0.961849, aupr:0.922109
auc:0.962476, aupr:0.923374
auc:0.968429, aupr:0.932759
auc:0.961178, aupr:0.922743
AUROC: 0.9622
AUPRC: 0.9239
auc:0.943728, aupr:0.719760
auc:0.929700, aupr:0.707185
auc:0.913644, aupr:0.677600
auc:0.914805, aupr:0.655464
auc:0.922516, aupr:0.689399
auc:0.909638, aupr:0.684131
auc:0.930731, aupr:0.714224
auc:0.903865, aupr:0.668290
auc:0.927919, aupr:0.713042
auc:0.929522, aupr:0.691285
AUROC: 0.9226
AUPRC: 0.6920
auc:0.902205, aupr:0.837760
auc:0.896690, aupr:0.831996
auc:0.908313, aupr:0.842098
auc:0.905495, aupr:0.839582
auc:0.914127, aupr:0.850669
auc:0.907569, aupr:0.837035
auc:0.910040, aupr:0.842530
auc:0.903314, aupr:0.837116
auc:0.908614, aupr:0.843773
auc:0.900287, aupr:0.834852
AUROC: 0.9057
AUPRC: 0.8397
auc:0.896628, aupr:0.893125
auc:0.894572, aupr:0.890029
auc:0.896759, aupr:0.891403
auc:0.918595, aupr:0.912235
auc:0.915024, aupr:0.910351
auc:0.913753, aupr:0.907486
auc:0.898334, aupr:0.896776
auc:0.900122, aupr:0.898467
auc:0.905259, aupr:0.902264
auc:0.900156, aupr:0.896883
AUROC: 0.9039
AUPRC: 0.8999
auc:0.934673, aupr:0.929308
auc:0.921865, aupr:0.916959
auc:0.934216, aupr:0.926119
auc:0.934964, aupr:0.927443
auc:0.931267, aupr:0.922997
auc:0.935653, aupr:0.930040
auc:0.923061, aupr:0.916971
auc:0.930924, aupr:0.925707
auc:0.931213, aupr:0.925075
auc:0.935856, aupr:0.930739
AUROC: 0.9314
AUPRC: 0.9251
auc:0.914832, aupr:0.896299
auc:0.904558, aupr:0.877464
auc:0.916725, aupr:0.894856
auc:0.913877, aupr:0.889612
auc:0.917942, aupr:0.891942
auc:0.917232, aupr:0.893066
auc:0.913338, aupr:0.889182
auc:0.903968, aupr:0.879592
auc:0.908269, aupr:0.882716
auc:0.910407, aupr:0.891692
AUROC: 0.9121
AUPRC: 0.8886
auc:0.784101, aupr:0.175667
auc:0.789807, aupr:0.185096
auc:0.773544, aupr:0.182240
auc:0.786776, aupr:0.173185
auc:0.785073, aupr:0.174390
auc:0.769819, aupr:0.178693
auc:0.798307, aupr:0.179103
auc:0.797140, aupr:0.180303
auc:0.775953, aupr:0.169975
auc:0.782401, aupr:0.175915
AUROC: 0.7843
AUPRC: 0.1775
auc:0.857126, aupr:0.191189
auc:0.849787, aupr:0.202979
auc:0.889087, aupr:0.182940
auc:0.843265, aupr:0.194834
auc:0.876852, aupr:0.187977
auc:0.859614, aupr:0.192628
auc:0.865533, aupr:0.194081
auc:0.860902, aupr:0.195040
auc:0.851013, aupr:0.205957
auc:0.867788, aupr:0.189370
AUROC: 0.8621
AUPRC: 0.1937
auc:0.891482, aupr:0.354562
auc:0.900510, aupr:0.340798
auc:0.877059, aupr:0.350847
auc:0.893064, aupr:0.353274
auc:0.873745, aupr:0.334279
auc:0.886618, aupr:0.350909
auc:0.883472, aupr:0.334290
auc:0.898073, aupr:0.319501
auc:0.879489, aupr:0.358737
auc:0.897246, aupr:0.327315
AUROC: 0.8881
AUPRC: 0.3425
auc:0.895220, aupr:0.270751
auc:0.897560, aupr:0.264749
auc:0.891299, aupr:0.278527
auc:0.890311, aupr:0.272533
auc:0.889336, aupr:0.276387
auc:0.888853, aupr:0.280670
auc:0.891019, aupr:0.273237
auc:0.892761, aupr:0.269232
auc:0.888178, aupr:0.276394
auc:0.893185, aupr:0.257953
AUROC: 0.8918
AUPRC: 0.2720
auc:0.827186, aupr:0.347122
auc:0.839693, aupr:0.346265
auc:0.848904, aupr:0.341965
auc:0.848773, aupr:0.355812
auc:0.846818, aupr:0.352952
auc:0.829657, aupr:0.352728
auc:0.836888, aupr:0.360246
auc:0.829752, aupr:0.367893
auc:0.832092, aupr:0.353846
auc:0.830996, aupr:0.346893
AUROC: 0.8371
AUPRC: 0.3526
auc:0.794494, aupr:0.424452
auc:0.798239, aupr:0.434637
auc:0.792805, aupr:0.437833
auc:0.806258, aupr:0.442444
auc:0.799068, aupr:0.410799
auc:0.800078, aupr:0.448202
auc:0.796943, aupr:0.439660
auc:0.795012, aupr:0.425059
auc:0.812377, aupr:0.426666
auc:0.810299, aupr:0.429063
AUROC: 0.8006
AUPRC: 0.4319
auc:0.608344, aupr:0.183325
auc:0.621608, aupr:0.208203
auc:0.582488, aupr:0.202078
auc:0.600437, aupr:0.192704
auc:0.599692, aupr:0.186837
auc:0.562756, aupr:0.200231
auc:0.556748, aupr:0.209876
auc:0.578873, aupr:0.193320
auc:0.620449, aupr:0.217993
auc:0.563255, aupr:0.202608
AUROC: 0.5895
AUPRC: 0.1997
auc:0.966390, aupr:0.854821
auc:0.962798, aupr:0.846712
auc:0.965111, aupr:0.847111
auc:0.962508, aupr:0.848422
auc:0.964356, aupr:0.850135
auc:0.965066, aupr:0.846947
auc:0.964326, aupr:0.848434
auc:0.961186, aupr:0.847379
auc:0.958321, aupr:0.841246
auc:0.962409, aupr:0.845451
AUROC: 0.9632
AUPRC: 0.8477
